i,E_avg,S_critical,k,f,R_squared
66,9.777891809920041e-05,0.7999999998080402,3.7350612355140123,1.5,0.9900534770579916
67,0.00011146570475931551,0.7999999999474998,4.079942251465294,1.5,0.9907482315395745
68,6.383791957410106e-05,0.7999999991213251,4.304992829863004,1.5,0.9713863841291372
69,0.00010509596262909507,0.7999999919393381,4.503416400308619,1.5,0.9809567737568243
70,0.00018739029240091284,0.7999999929395125,2.7602825550221515,1.5,0.9960944750062228
71,0.0001535899433807172,0.7999999987345159,3.0172432163421075,1.5,0.9974386403470242
72,9.060824740629537e-05,0.7999999991652476,4.938434760566794,1.5,0.9823522873736303
73,0.00016055061177655997,0.7999999958661816,2.791702714007713,1.5,0.9984151770276456
74,0.00012756670693054374,0.7999999996578635,5.356492159136638,1.5,0.9907211620424324
75,0.0001188195804451221,0.7999999921434676,2.473081510667218,1.5,0.986983139105681
76,0.00011773108024376114,0.7999999995015935,5.149410817614552,1.5,0.9813984294591991
77,0.00013518273955253463,0.7999999938936825,3.1508224300017926,1.5,0.9925078754246819
78,0.00015455645115570603,0.7999999991541825,3.1495368996536843,1.5,0.9895400884883038
79,8.496856478305762e-05,0.7999999998396792,4.729380190137543,1.5,0.9826817504164933
80,9.620433035105592e-05,0.7999999997380249,8.12314634791845,1.5,0.9919143094418804
81,0.0001553448972004979,0.7999999996779893,3.736727343118763,1.5,0.9953517438768541
82,7.975715381683072e-05,0.7999999997202403,7.0926201219969425,1.5,0.9751258737077512
83,0.00010287147973714707,0.7999999991255512,5.0231310652793475,1.5,0.9855344157016186
84,0.00015593869497164867,0.7999999991742136,3.066178148534855,1.5,0.9981262847663946
85,0.00015010367144975992,0.7999999992854121,3.4600033229160636,1.5,0.9980486694088584
86,0.0001399599184537795,0.799999998989678,2.8027522003264633,1.5,0.9908616311058757
87,7.591536618701324e-05,0.79999999933131,4.637126553552539,1.5,0.98317541944212
88,0.00013172185087475914,0.799999999910471,3.2193723278960316,1.5,0.9899340386443735
89,9.597914553271625e-05,0.7999999998213515,5.2244175015640355,1.5,0.9910610763522729
90,8.219443943697733e-05,0.7999999999351061,7.427710837798723,1.5,0.9839990978083701
91,9.776257830619704e-05,0.7999999998276693,5.141504368559499,1.5,0.9866817652345229
92,0.00010394935842135837,0.7999999993917937,4.953499251628845,1.5,0.9861980485529224
93,0.00011356227104783783,0.7999999999900517,4.429154346296909,1.5,0.9956604216501381
94,0.0001520705827838717,0.7999999945989629,2.8368510489619627,1.5,0.9937453712080099
95,8.887162242324508e-05,0.7999999997780533,5.667214234328063,1.5,0.9833698158748246
96,0.00012459477131853926,0.7999999997098309,4.714083036390638,1.5,0.9888886733417063
97,8.794350389991029e-05,0.7999999999937951,9.860563070663822,1.5,0.9910461757646003
98,0.00011999478444757748,0.7999999999136336,4.472807301822498,1.5,0.989593627887882
99,0.00012626959155992277,0.7999999980747543,4.2636620840386685,1.5,0.9935019319941104
